Unnamed: 0,CARNAME,ID,Make,Model,Body color,Type of finish,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,El. motor power,CO2 emissions,Emission class,Battery type,AC charging time,DC charging time,Battery warranty (km),Range extender,Mileage,First registration,Condition,Consumption,Price,Currency,Tags,Engine capacity,Valid MOT until,Previous owners,Engine power,Battery capacity,Hybrid type,Electric range,Warranty until,Weight,Country of origin,Secondary drive,Energy efficiency,Full service history,Battery capacity1
784,jeep cherokee,61023877,Jeep,Cherokee,White,,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,147 kW,,151 g/km,Euro 6,,,,,,171 000 km,9/2017,,5.7 l/100km (combined); 7 l/100km (city); 4.9 l/100km ,17949,EUR,Ventilated front seats; Keyless entry; Electric adjustable front seats; Keyless ignition; El. tailgate; Bluetooth; Xenon headlights; Leather; Rain sensor; Light sensor,2 184 ccm,09/2025,,,,,,,,,,,,
785,volkswagen t5-kombi,61023880,Volkswagen,T5 Kombi,Grey,Metallic,Black interior,Cloth interior,Cargo VAN,4/5 doors,2,not published by the seller,Diesel,Manual,4x2,110 kW,,181 g/km,Euro 6d,,,,,,6 078 km,12/2022,,6.9 l/100km (combined); 7.6 l/100km (city); 5.4 l/100km ,50549,EUR,Integrated music streaming; Voice control; Navigation system; Bluetooth; Automatic A/C; Lane assist; Hill-start assist; Parking sensors; Side mirrors with electic adjustment; Daytime running lights,1 968 ccm,,1.0,,,,,,,,,,,
786,jeep cherokee,61023877,Jeep,Cherokee,White,,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,147 kW,,151 g/km,Euro 6,,,,,,171 000 km,9/2017,,5.7 l/100km (combined); 7 l/100km (city); 4.9 l/100km ,17949,EUR,Ventilated front seats; Keyless entry; Electric adjustable front seats; Keyless ignition; El. tailgate; Bluetooth; Xenon headlights; Leather; Rain sensor; Light sensor,2 184 ccm,09/2025,,,,,,,,,,,,
787,kia ev9,61023889,Kia,EV9,Grey,Metallic,Other interior color,Other interior material,SUV / offroad,4/5 doors,7,not published by the seller,Electric,Automatic,4x4,283 kW,,0 g/km,No emission class,,,,,,1 km,1/2023,New,0 kWh/100km (combined),82399,EUR,Ventilated front seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,,,,,,,,,2564.0,,,,,
788,mercedes-benz c-220,61023900,Mercedes-Benz,C 220,Grey,Metallic,Grey interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,125 kW,,108 g/km,Euro 6,,,,,,166 500 km,6/2015,,4.3 l/100km (combined); 5.2 l/100km (city); 3.7 l/100km ,17949,EUR,Parking assist system self-steering; LED headlights; Electric adjustable front seats; Heated front seats; Keyless ignition; Panoramic roof; Voice control; Navigation system; Paddle shifters; Traffic sign recognition,2 143 ccm,,2.0,,,,,,,,,,,
789,volkswagen caddy,61023896,Volkswagen,Caddy,,,Other interior color,Cloth interior,Cargo VAN,4/5 doors,7,not published by the seller,Diesel,Automatic,4x2,90 kW,,122 g/km,Euro 6d,,,,,,1 km,9/2023,New,4.6 l/100km (combined),38299,EUR,LED headlights; Digital cockpit; Keyless entry; Keyless ignition; Third row seats; Paddle shifters; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor,1 968 ccm,,,,,,,,,,,,,
790,bmw 320,61023897,BMW,320,Black,Metallic,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,,114 g/km,Euro 6d,,,,,No,35 000 km,2/2022,,4.3 l/100km (combined); 5 l/100km (city); 4 l/100km ,38199,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition,1 995 ccm,,1.0,,,Mild hybrid,,,,,,,,
791,renault megane,61023890,Renault,Megane,Red,Metallic,Black interior,Full leather interior,Sedans / saloons,,,not published by the seller,Electric,Automatic,4x2,96 kW,,0 g/km,No emission class,,,,,No,8 km,8/2023,New,0 kWh/100km (combined),57749,EUR,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Navigation system; Heated steering wheel; Paddle shifters; Traffic sign recognition; Bluetooth,,,,,60 kWh,,,,,,,,,
792,ford grand-c-max,61023878,Ford,Grand C-Max,White,,Other interior color,Part leather interior,MPV,4/5 doors,7,not published by the seller,Petrol,Automatic,4x2,134 kW,,154 g/km,Euro 6,,,,,,95 466 km,6/2016,,6.8 l/100km (combined); 9.2 l/100km (city); 5.4 l/100km ,15499,EUR,Parking assist system self-steering; Keyless entry; Heated front seats; Keyless ignition; Panoramic roof; Voice control; Navigation system; Heated steering wheel; El. tailgate; Bluetooth,1 498 ccm,04/2025,,,,,,,,,,,,
793,mini electric,61023892,MINI,Electric,Grey,Metallic,Black interior,Full leather interior,Hatchback,2/3 doors,4,not published by the seller,Electric,Automatic,4x2,135 kW,,0 g/km,Euro 6,,,,,No,47 157 km,4/2020,,0 kWh/100km (combined),22499,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Harman/Kardon audio; Heated front seats; Head-up display; Apple CarPlay; Integrated music streaming; Keyless ignition,,,,,,,,,,,,,,
794,peugeot traveller,61023887,Peugeot,Traveller,Silver,Metallic,Other interior color,Cloth interior,MPV/VAN,4/5 doors,9+,not published by the seller,Diesel,Automatic,4x2,130 kW,,0 g/km,Euro 6d,,,,,,6 250 km,9/2023,Used,,46199,EUR,Smartphone mirroring; Apple CarPlay; Android auto; Panoramic roof; Navigation system; Glare-free high beam headlights; Automatic A/C; High beam assist; Rain sensor; Light sensor,1 997 ccm,,,,,,,,1842.0,,,,,
795,volkswagen t-cross,61023885,Volkswagen,T-Cross,White,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,70 kW,,116 g/km,No emission class,,,,,,50 890 km,4/2021,Used,5.8 l/100km (combined),17949,EUR,Adaptive cruise control; Bluetooth; Automatic A/C; High beam assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Front electric windows; Alloy wheels,999 ccm,,,,,,,,1245.0,Spain,,,,
796,peugeot 2008,61023899,Peugeot,2008,Orange,Metallic,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,,,,,,17 544 km,3/2021,,,27799,EUR,Electric adjustable front seats; Automatic A/C; Side mirrors with electic adjustment,,,,,,,,,,,,,,
797,bmw ix1,61023898,BMW,iX1,Grey,Metallic,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,230 kW,,0 g/km,No emission class,,,,,,7 500 km,12/2022,Used,0 kWh/100km (combined),56349,EUR,Driver's seat with massage function; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats,,,,,,,,,2085.0,Germany,,,,
798,bmw 218-active-tourer,61023888,BMW,218 Active Tourer,Grey,Metallic,Black interior,,MPV,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,119 g/km,Euro 6,,,,,,48 904 km,11/2019,Used,4.5 l/100km (combined),24749,EUR,Smart key; Electric adjustable front seats; Heated front seats; Keyless ignition; Voice control; Navigation system; Heated steering wheel; El. tailgate; Bluetooth; Automatic 2-zones air conditioning,1 995 ccm,,,,,,,06/2024,,,,,,
799,seat ibiza,61023894,Seat,Ibiza,White,,,,Hatchback,4/5 doors,5,VSSZZZKJZKR087247,Petrol,Manual,4x2,70 kW,,106 g/km,,,,,,,52 674 km,1/2019,Used,4.7 l/100km (combined),13499,EUR,Smartphone mirroring; Apple CarPlay; Android auto; Bluetooth; Adaptive lighting; Automatic lights; Light sensor; Front collision warning system; Predictive emergency braking system (PEBS); Multifunctional steering wheel,999 ccm,,,,,,,,,,,,,
800,bmw x5-m,61023893,BMW,X5 M,White,,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,not published by the seller,Diesel,Automatic,4x4,294 kW,,0 g/km,Euro 6d-TEMP,,,,,,86 665 km,5/2019,Used,,74349,EUR,Laser headlights; Ventilated front seats; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Harman/Kardon audio; Heated front seats; Active steering,2 993 ccm,,,,,,,,2350.0,,,,,
801,audi a3,61023859,Audi,A3,Black,Metallic,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,118 g/km,Euro 6d-TEMP,,,,,,126 441 km,11/2019,,4.5 l/100km (combined); 5.3 l/100km (city); 4.1 l/100km ,19399,EUR,Electric adjustable front seats; Heated front seats; Apple CarPlay; Navigation system; Sport front seats; Bi-xenon headlights; Bluetooth; Adaptive lighting; Sport-suspension system; Automatic A/C,1 968 ccm,,1.0,,,,,,,,,,,
802,mercedes-benz x-250,61023862,Mercedes-Benz,X 250,White,Metallic,Black interior,Full leather interior,Pick-up,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,,203 g/km,Euro 6,,,,,,69 800 km,7/2019,Used,7.7 l/100km (combined); 7.7 l/100km (city); 7.7 l/100km ,39699,EUR,LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition; Voice control; Navigation system,2 298 ccm,,,,,,,,2234.0,,,,,
