CARNAME,ID,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Previous owners,Engine capacity(ccm),Tags
mercedes-benz c-300,61185927,Mercedes-Benz,C 300,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Hybrid,Automatic,4x4,230,14,Euro 6d,9000,01/06/2023,Demonstration car,0.6,63499,1,1999,Driver's seat with massage function; Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats
mitsubishi space-star,61185918,Mitsubishi,Space Star,Silver,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,52,116,Euro 6d-TEMP,13683,01/12/2022,Used,5.1,17349,1,1193,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Bluetooth; Automatic A/C; High beam assist
ford focus,61185932,Ford,Focus,Blue,Other interior color,Other interior material,Station Wagon,4/5 doors,5,Petrol,Manual,4x2,92,95,Euro 6,11471,01/12/2020,Used,4.1,25249,0,999,Keyless entry; Adaptive cruise control; Keyless ignition; Voice control; Navigation system; Sport front seats; Bluetooth; Sport-suspension system; Induction charging for smartphones; Rain sensor
fiat 500x,61185925,Fiat,500X,Blue,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,88,133,Euro 6d,41100,01/09/2018,Used,5.8,14949,0,999,LED headlights; Heated front seats; Apple CarPlay; Android auto; Traffic sign recognition; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Lane assist
hyundai i20,61185931,Hyundai,i20,White,Grey interior,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,62,112,Euro 6,58889,01/02/2016,Used,4.8,9849,0,1248,Side mirrors with electic adjustment; Daytime running lights; On-board computer; Alarm; Start-stop system; CD player; Front electric windows
renault clio,61185937,Renault,Clio,Blue,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,66,121,Euro 6,2,01/09/2023,New,5.3,25449,0,999,LED headlights; Keyless entry; Adaptive cruise control; Bose audio; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system
seat ateca,61185934,Seat,Ateca,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,124,Euro 6,80000,01/04/2018,Used,5.4,23149,1,1395,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Navigation system; El. tailgate; Paddle shifters; Sport front seats; Bluetooth
bmw x3,61185936,BMW,X3,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,140,126,Euro 6,50995,01/12/2020,Used,4.8,40749,0,1995,Alloy wheels
fiat 500c,61185926,Fiat,500C,Black,Other interior color,Cloth interior,Cabriolet,2/3 doors,4,Petrol,Automatic,4x2,51,114,Euro 6d-TEMP,19000,01/07/2020,Used,4.9,17949,1,1242,Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel
toyota rav-4,61185929,Toyota,RAV 4,White,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,160,0,No emission class,33300,01/04/2021,Used,4.6,33049,0,2487,Bluetooth; Automatic A/C; High beam assist; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Front electric windows; Alloy wheels
renault talisman,61185928,Renault,Talisman,Black,Other interior color,Other interior material,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,118,126,No emission class,41354,01/09/2019,Used,4.8,27349,0,1997,Adaptive cruise control; Heated front seats; Head-up display; Panoramic roof; Bluetooth; Side mirrors with electic adjustment; Daytime running lights; Alarm; USB; Front electric windows
audi rsq3,61185920,Audi,RSQ3,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,294,202,Euro 6d,7990,01/06/2023,Used,9.6,71199,1,2480,LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Integrated music streaming; Panoramic roof; Voice control; Navigation system; Paddle shifters; Sport front seats
hyundai i20,61185931,Hyundai,i20,White,Grey interior,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,62,112,Euro 6,58889,01/02/2016,Used,4.8,9849,0,1248,Side mirrors with electic adjustment; Daytime running lights; On-board computer; Alarm; Start-stop system; CD player; Front electric windows
volkswagen tiguan,61185919,Volkswagen,Tiguan,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,128,Euro 6,200,01/08/2023,Demonstration car,5.6,47749,1,1400,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Keyless ignition
bmw x3,61185936,BMW,X3,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,140,126,Euro 6,50995,01/12/2020,Used,4.8,40749,0,1995,Alloy wheels
seat ateca,61185934,Seat,Ateca,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,124,Euro 6,80000,01/04/2018,Used,5.4,23149,1,1395,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Navigation system; El. tailgate; Paddle shifters; Sport front seats; Bluetooth
fiat 500c,61185926,Fiat,500C,Black,Other interior color,Cloth interior,Cabriolet,2/3 doors,4,Petrol,Automatic,4x2,51,114,Euro 6d-TEMP,19000,01/07/2020,Used,4.9,17949,1,1242,Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel
toyota rav-4,61185929,Toyota,RAV 4,White,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,160,0,No emission class,33300,01/04/2021,Used,4.6,33049,0,2487,Bluetooth; Automatic A/C; High beam assist; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Front electric windows; Alloy wheels
renault talisman,61185928,Renault,Talisman,Black,Other interior color,Other interior material,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,118,126,No emission class,41354,01/09/2019,Used,4.8,27349,0,1997,Adaptive cruise control; Heated front seats; Head-up display; Panoramic roof; Bluetooth; Side mirrors with electic adjustment; Daytime running lights; Alarm; USB; Front electric windows
audi rsq3,61185920,Audi,RSQ3,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,294,202,Euro 6d,7990,01/06/2023,Used,9.6,71199,1,2480,LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Integrated music streaming; Panoramic roof; Voice control; Navigation system; Paddle shifters; Sport front seats
volkswagen t-cross,61185909,Volkswagen,T-Cross,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,85,113,Euro 6,37075,01/05/2020,Used,4.9,23149,0,999,Navigation system; Paddle shifters; Bluetooth; Rear parking camera; Adaptive lighting; Automatic A/C; Automatic lights; Rain sensor; Parking sensors; Autom. dimming side mirros
