,Weight,Engine power,Emission class,Engine capacity,Condition,VIN,Full service history,Price,Power,CARNAME,Previous owners,ID,Battery type,Battery warranty (km),Interior color,Mileage,Make,Hybrid type,El. motor power,Model,Electric range,Battery capacity,First registration,Doors,Valid MOT until,Country of origin,Energy efficiency,CO2 emissions,Type of finish,Currency,Tags,AC charging time,Interior material,DC charging time,Secondary drive,Consumption,Body,Warranty until,Body color,Seats,Transmission,Fuel,Range extender,Battery capacity1,Drive type
991,,,Euro 6,1 332 ccm,,not published by the seller,,30699,103 kW,renault arkana,1,61021763,,,Black interior,10 km,Renault,,,Arkana,,,12/2023,4/5 doors,,,,132 g/km,Metallic,EUR,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Traffic sign recognition,,Cloth interior,,,5.3 l/100km (combined),SUV / offroad,,Red,5,Automatic,Petrol,,,4x2
992,,,Euro 6,1 749 ccm,Used,not published by the seller,,24949,110 kW,nissan x-trail,1,61021775,,,Black interior,98 450 km,Nissan,,,X-Trail,,,6/2019,4/5 doors,,,,0 g/km,,EUR,Keyless entry; Electric adjustable front seats; Heated front seats; Keyless ignition; Automatic multi-zone A/C; Heated steering wheel; Bluetooth; Automatic lights; Rain sensor; Parking sensors,,,,,,SUV / offroad,,Black,5,Manual,Diesel,,,4x2
993,,,Euro 6,1 991 ccm,Used,not published by the seller,,34599,235 kW,mercedes-benz glc-350,1,61021766,,,Grey interior,59 644 km,Mercedes-Benz,Full hybrid,,GLC 350,,,3/2017,4/5 doors,,,13 l/100km,59 g/km,,EUR,Head-up display; Automatic multi-zone A/C; Panoramic roof; Automatic lights; Rain sensor; Blind spot assist; DVD player; Electrically foldable side mirrors; Automatic parking brake; On-board computer,,,,,,SUV / offroad,12/2024,Grey,5,Automatic,Hybrid,No,,4x4
994,,,No emission class,1 200 ccm,Used,not published by the seller,,22149,96 kW,peugeot 308,,61021772,,,Black interior,40 655 km,Peugeot,,,308,,,6/2022,4/5 doors,,,,126 g/km,Metallic,EUR,LED headlights; Digital cockpit; Apple CarPlay; Android auto; Bluetooth; Blind spot assist; Parking sensors; Side mirrors with electic adjustment; USB; AUX,,Part leather interior,,,5.3 l/100km (combined),Hatchback,,,5,Manual,Petrol,,,4x2
995,1324,,No emission class,1 498 ccm,New,not published by the seller,,27649,110 kW,volkswagen t-cross,,61021770,,,Other interior color,1 km,Volkswagen,,,T-Cross,,,9/2023,4/5 doors,,,,118 g/km,,EUR,LED headlights; Digital cockpit; Smartphone mirroring; Apple CarPlay; Android auto; Navigation system; Paddle shifters; Sport front seats; Traffic sign recognition; Bluetooth,,Other interior material,,,6 l/100km (combined); 6 l/100km (city); 6 l/100km ,SUV / offroad,,,,Automatic,Petrol,,,4x2
996,1656,,No emission class,,Used,not published by the seller,,31099,160 kW,nissan leaf,,61021762,Lithium-ion (Li-ion),160000 km,Grey interior,29 790 km,Nissan,,160 kW,Leaf,,62 kWh,7/2020,4/5 doors,,Netherlands,,0 g/km,,EUR,Heated front seats; Navigation system; Bluetooth; Leather; Automatic A/C; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer; Front electric windows,12 h,Full leather interior,34 min,,,Hatchback,,White,5,Automatic,Electric,No,,4x2
997,1257,,No emission class,999 ccm,New,not published by the seller,,21499,67 kW,renault captur,,61021767,,,Other interior color,1 km,Renault,,,Captur,,,9/2023,4/5 doors,,,,122 g/km,,EUR,Traffic sign recognition; Hill-start assist; Side mirrors with electic adjustment; On-board computer; Alarm,,Other interior material,,,5.4 l/100km (combined); 6 l/100km (city); 6 l/100km ,SUV / offroad,,,,Manual,Petrol,,,4x2
998,,,Euro 6,1 461 ccm,Used,not published by the seller,,17449,85 kW,dacia duster,1,61021769,,,,66 380 km,Dacia,,,Duster,,,2/2019,4/5 doors,,,,110 g/km,,EUR,Navigation system; Rear parking camera; Automatic A/C; Automatic lights; Daytime running lights; Electrically heated side mirrors; On-board computer; Front electric windows,,,,,4.2 l/100km (combined); 4.7 l/100km (city); 3.9 l/100km ,SUV / offroad,06/2024,White,5,Manual,Diesel,,,4x2
999,,,Euro 6d-TEMP,1 998 ccm,,not published by the seller,,20349,90 kW,mazda 3,1,61021756,,,Black interior,42 400 km,Mazda,Mild hybrid,,3,,,8/2019,4/5 doors,12/2025,,,117 g/km,Metallic,EUR,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,,Cloth interior,,,5.4 l/100km (combined); 6.5 l/100km (city); 4.3 l/100km ,Sedans / saloons,,Blue,5,Manual,Petrol,No,,4x2
1000,1525,,No emission class,6 496 ccm,Used,not published by the seller,,394349,588 kW,ferrari 812,,61021771,,,Other interior color,16 500 km,Ferrari,,,812,,,3/2019,2/3 doors,,Spain,,356 g/km,,EUR,Automatic A/C; Rain sensor; Light sensor; Multifunctional steering wheel; Front electric windows; Alloy wheels,,Other interior material,,,14.9 l/100km (combined); 14.9 l/100km (city); 14.9 l/100km ,Coupe,,Black,2,Automatic,Petrol,,,4x2
