,Weight,Engine power,Emission class,Engine capacity,Condition,VIN,Full service history,Price,Power,CARNAME,Previous owners,ID,Battery type,Battery warranty (km),Interior color,Mileage,Make,Hybrid type,El. motor power,Model,Electric range,Battery capacity,First registration,Doors,Valid MOT until,Country of origin,Energy efficiency,CO2 emissions,Type of finish,Currency,Tags,AC charging time,Interior material,DC charging time,Secondary drive,Consumption,Body,Warranty until,Body color,Seats,Transmission,Fuel,Range extender,Battery capacity1,Drive type
0,1178,,Euro 6,1 364 ccm,Used,not published by the seller,,13899,110 kW,opel adam,,61023275,,,Other interior color,51 000 km,Opel,,,Adam,,,4/2017,2/3 doors,,,,139 g/km,Metallic,EUR,Parking assist system self-steering; Digital cockpit; Apple CarPlay; Android auto; Voice control; Sport front seats; Bluetooth; Sport-suspension system; Automatic A/C; Blind spot assist,,Part leather interior,,,5.9 l/100km (combined); 5.9 l/100km (city); 5.9 l/100km ,Hatchback,,Grey,4,Manual,Petrol,,,4x2
1,,,Euro 6d-TEMP,1 998 ccm,,not published by the seller,,38999,135 kW,bmw x3,1,61023291,,,Black interior,29 463 km,BMW,,,X3,,,8/2020,4/5 doors,,,,163 g/km,Metallic,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Heated front seats; Keyless ignition; Navigation system; El. tailgate; Paddle shifters; Sport front seats; Traffic sign recognition,,Part leather interior,,,7.2 l/100km (combined); 8.2 l/100km (city); 6.6 l/100km ,SUV / offroad,,Silver,5,Automatic,Petrol,,,4x4
2,1859,,No emission class,,Used,not published by the seller,,37049,150 kW,cupra born,,61023277,,,Other interior color,36 000 km,Cupra,,,Born,,,4/2022,4/5 doors,,,,0 g/km,,EUR,LED headlights; Heated front seats; Rain sensor; Lane assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Heated windshield; USB,,Other interior material,,,15.7 kWh/100km (combined),Hatchback,,Grey,5,Automatic,Electric,,,4x2
3,,,Euro 6,1 968 ccm,,not published by the seller,,45749,147 kW,volkswagen golf,1,61023276,,,Grey interior,4 450 km,Volkswagen,,,Golf,,,1/2022,4/5 doors,,,,117 g/km,Metallic,EUR,Digital cockpit; Harman/Kardon audio; Panoramic roof; Navigation system; Bluetooth; Xenon headlights; Automatic A/C; Rain sensor; Side mirrors with electic adjustment; Daytime running lights,,Cloth interior,,,4.4 l/100km (combined); 5.4 l/100km (city); 3.9 l/100km ,Hatchback,,Black,5,Automatic,Diesel,,,4x2
4,,,Euro 6,2 191 ccm,,not published by the seller,,21799,129 kW,mazda cx-5,2,61023284,,,Black interior,116 000 km,Mazda,,,CX-5,,,5/2018,4/5 doors,,,,142 g/km,Metallic,EUR,Heated rear seats; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats; Head-up display; Integrated music streaming; Keyless ignition,,Part leather interior,,,5.4 l/100km (combined); 6.3 l/100km (city); 4.9 l/100km ,SUV / offroad,,Black,,Manual,Diesel,,,4x4
5,,,,1 984 ccm,New,not published by the seller,,42349,110 kW,audi a4,,61023286,,,,10 km,Audi,,,A4,,,1/2023,4/5 doors,,,,129 g/km,,EUR,LED headlights; Digital cockpit; Keyless ignition; Navigation system; Bluetooth; Automatic A/C; High beam assist; Predictive emergency braking system (PEBS); Multifunctional steering wheel; Side mirrors with electic adjustment,,Part leather interior,,,5.7 l/100km (combined),Sedans / saloons,,Black,,Automatic,Petrol,,,4x2
6,,,Euro 6,1 997 ccm,Used,not published by the seller,,46799,130 kW,citroen jumpy,1,61023289,,,Black interior,246 km,Citroen,,,Jumpy,,,9/2023,4/5 doors,,,,195 g/km,,EUR,Apple CarPlay; Navigation system; Bluetooth; Rear parking camera; Multifunctional steering wheel,,Cloth interior,,,7.4 l/100km (combined),Cargo VAN,12/2025,Black,5,Automatic,Diesel,,,4x2
7,1215,,Euro 6,999 ccm,New,not published by the seller,,24199,81 kW,seat arona,,61023285,,,Grey interior,20 km,Seat,,,Arona,,,9/2023,4/5 doors,,,,109 g/km,Metallic,EUR,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Bluetooth; Automatic 2-zones air conditioning; Light sensor; Lane assist; Hill-start assist,,Cloth interior,,,4.8 l/100km (combined),SUV / offroad,,Red,5,Manual,Petrol,,,4x2
8,,,Euro 6,1 968 ccm,New,not published by the seller,,43349,147 kW,volkswagen passat,,61023282,,,Other interior color,10 km,Volkswagen,,,Passat,,,9/2023,4/5 doors,,,,124 g/km,,EUR,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Integrated music streaming; Keyless ignition; Navigation system; Paddle shifters; Bluetooth; Rain sensor,,Part leather interior,,,5.5 l/100km (combined),Station Wagon,,,5,Automatic,Diesel,,,4x2
9,1519,,Euro 6,1 598 ccm,Demonstration car,not published by the seller,,31199,96 kW,jeep compass,,61023281,,,Black interior,7 000 km,Jeep,,,Compass,,,4/2023,4/5 doors,,,,0 g/km,,EUR,LED headlights; Adaptive cruise control; Apple CarPlay; Android auto; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; High beam assist,,Cloth interior,,,,SUV / offroad,,Red,5,Manual,Diesel,,,4x2
10,,,Euro 5,1 968 ccm,,not published by the seller,,46149,103 kW,volkswagen t5-transporter,1,61023273,,,Grey interior,76 069 km,Volkswagen,,,T5 Transporter,,,1/2013,4/5 doors,,,,219 g/km,,EUR,On-board computer; CD player; Front electric windows; Detachable trailer coupling,,Other interior material,,,8.3 l/100km (combined),Cargo VAN,,Grey,4,Manual,Diesel,,,4x4
11,1585,,Euro 6d-TEMP,1 984 ccm,Used,not published by the seller,,29849,140 kW,audi a4,,61023263,,,Black interior,90 800 km,Audi,,,A4,,,9/2020,4/5 doors,,Germany,,135 g/km,,EUR,Heated front seats; Navigation system; Glare-free high beam headlights; El. tailgate; Bluetooth; Sport-suspension system; Automatic A/C; High beam assist; Front collision warning system; Parking sensors,,Other interior material,,,5.9 l/100km (combined); 6 l/100km (city); 6 l/100km ,Station Wagon,,Blue,5,Automatic,Petrol,,,4x2
12,1240,,Euro 6,1 499 ccm,Used,not published by the seller,,33499,100 kW,mini cooper-cabrio,,61023267,,,Black interior,25 499 km,MINI,,,Cooper Cabrio,,,3/2019,2/3 doors,,,,122 g/km,Metallic,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Leather; Rain sensor,,Full leather interior,,,5.4 l/100km (combined),Cabriolet,,White,4,Automatic,Petrol,,,4x2
13,1405,,Euro 6d-TEMP,1 469 ccm,New,not published by the seller,,37749,96 kW,fiat 500x,,61023265,,,Other interior color,5 km,Fiat,,,500X,,,9/2023,4/5 doors,,Germany,,0 g/km,,EUR,LED headlights; Keyless entry; Adaptive cruise control; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Sport front seats; Traffic sign recognition,,Cloth interior,,,,SUV / offroad,,Red,5,Automatic,Petrol,,,4x2
14,1460,,Euro 6,1 496 ccm,Used,not published by the seller,,28449,85 kW,bmw 116,,61023259,,,Other interior color,80 452 km,BMW,,,116,,,1/2020,4/5 doors,,,,99 g/km,Metallic,EUR,LED headlights; Keyless entry; Keyless ignition; Navigation system; El. tailgate; Automatic 2-zones air conditioning; Rain sensor; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment,,Other interior material,,,3.9 l/100km (combined); 3.9 l/100km (city); 3.9 l/100km ,Hatchback,,Grey,5,Automatic,Diesel,,,4x2
15,,,No emission class,,New,not published by the seller,,55349,160 kW,subaru solterra,,61023268,,,Other interior color,5 km,Subaru,,,Solterra,,71 kWh,9/2023,4/5 doors,,,,0 g/km,Metallic,EUR,LED headlights; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Panoramic roof; Voice control; Navigation system; Heated steering wheel,,Other interior material,,,0 kWh/100km (combined),SUV / offroad,,Grey,5,Automatic,Electric,No,,4x4
16,,,Euro 6,5 654 ccm,New,not published by the seller,,84849,295 kW,ram 1500,,61023266,,,Black interior,31 km,RAM,,,1500,,,9/2023,4/5 doors,11/2025,,,352 g/km,,EUR,LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Panoramic roof; Voice control,,Part leather interior,,,14.9 l/100km (combined); 15.7 l/100km (city); 10.7 l/100km ,Pick-up,,Blue,6,Automatic,Petrol,,,4x4
17,,,No emission class,1 000 ccm,Used,not published by the seller,,18399,114 kW,ford focus,,61023260,,,Other interior color,62 919 km,Ford,,,Focus,,,1/2021,,,Spain,,94 g/km,,EUR,,,Other interior material,,,5.3 l/100km (combined); 4.9 l/100km (city); 4.9 l/100km ,Sedans / saloons,,,,Manual,Petrol,,,4x2
18,,,Euro 6,1 332 ccm,Used,not published by the seller,,22099,111 kW,jeep renegade,1,61023269,,,,23 974 km,Jeep,,,Renegade,,,3/2020,4/5 doors,,,,146 g/km,,EUR,Automatic multi-zone A/C; Panoramic roof; Rain sensor; Electrically heated side mirrors; Start-stop system; Alloy wheels,,,,,6.4 l/100km (combined),SUV / offroad,12/2024,Blue,5,Automatic,Petrol,,,4x2
19,,,Euro 6,1 199 ccm,Used,not published by the seller,,15799,55 kW,peugeot 208,1,61023250,,,,23 796 km,Peugeot,,,208,,,12/2019,4/5 doors,,,,94 g/km,,EUR,Digital cockpit; Bluetooth; Automatic lights; Daytime running lights; Electrically heated side mirrors; USB; Front electric windows,,,,,4.1 l/100km (combined),Hatchback,12/2024,White,5,Manual,Petrol,,,4x2
20,,110 kW,Euro 6,1 395 ccm,Used,not published by the seller,,27249,150 kW,volkswagen golf,1,61023258,Lithium-ion (Li-ion),,,26 534 km,Volkswagen,Plug-in hybrid,85 kW,Golf,,13 kWh,11/2020,4/5 doors,,,12 l/100km,106 g/km,,EUR,,4 h,,,,4.6 l/100km (combined),Hatchback,03/2024,White,5,Automatic,Hybrid,No,,4x2
21,1594,,No emission class,1 333 ccm,New,not published by the seller,,28799,96 kW,renault kangoo,,61023256,,,Other interior color,1 km,Renault,,,Kangoo,,,9/2023,4/5 doors,,,,153 g/km,,EUR,LED headlights; Heated front seats; Apple CarPlay; Android auto; Navigation system; Traffic sign recognition; Automatic A/C; High beam assist; Rain sensor; Hill-start assist,,Other interior material,,,6.8 l/100km (combined); 6.8 l/100km (city); 6.8 l/100km ,Cargo VAN,,,,Automatic,Petrol,,,4x2
22,1200,,Euro 6,998 ccm,Used,not published by the seller,,21299,74 kW,hyundai i20,,61023245,,,Grey interior,20 250 km,Hyundai,,,i20,,,8/2022,4/5 doors,,,,104 g/km,Metallic,EUR,Digital cockpit; Apple CarPlay; Android auto; Voice control; Traffic sign recognition; Bluetooth; High beam assist; Light sensor; Lane assist; Front collision warning system,,Cloth interior,,,4.5 l/100km (combined),Hatchback,,Red,5,Manual,Petrol,,,4x2
23,,,Euro 6,999 ccm,Used,not published by the seller,,33549,81 kW,volkswagen golf,1,61023247,,,,5 000 km,Volkswagen,,,Golf,,,12/2023,4/5 doors,,,,98 g/km,Metallic,EUR,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Paddle shifters; Traffic sign recognition; Rear parking camera; Adaptive lighting; Automatic lights,,,,,5.2 l/100km (combined),Hatchback,,Grey,5,Automatic,Petrol,,,4x2
24,,,No emission class,,Demonstration car,not published by the seller,,57949,160 kW,subaru solterra,1,61023248,,,Black interior,250 km,Subaru,,,Solterra,,71 kWh,8/2023,4/5 doors,08/2026,,,0 g/km,Metallic,EUR,Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Apple CarPlay; Android auto,,Cloth interior,,,0 kWh/100km (combined),SUV / offroad,,Blue,5,Automatic,Electric,No,,4x4
25,,,,1 490 ccm,Used,JTDKCACB90A034211,,33549,85 kW,toyota yaris-cross,,61023254,,,,13 255 km,Toyota,,,Yaris Cross,,,1/2023,4/5 doors,,,,0 g/km,,EUR,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Rear cross traffic alert (RCTA); Traffic sign recognition,,Part leather interior,,,,SUV / offroad,,White,5,Automatic,Hybrid,,,4x4
26,,,Euro 6d,,Demonstration car,not published by the seller,,67599,125 kW,audi q4,,61023251,,,Black interior,2 910 km,Audi,,,Q4,,,9/2023,4/5 doors,09/2026,,,0 g/km,Metallic,EUR,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; WLAN/Wifi hotspot,,Full leather interior,,,0 kWh/100km (combined),SUV / offroad,,Black,5,Automatic,Electric,,,4x2
27,2010,,No emission class,,Demonstration car,not published by the seller,,56449,140 kW,mercedes-benz eqb,,61023226,,,Other interior color,15 000 km,Mercedes-Benz,,,EQB,,,4/2023,4/5 doors,,,,0 g/km,Metallic,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Glare-free high beam headlights; El. tailgate,,Cloth interior,,,0 kWh/100km (combined),SUV / offroad,,Grey,7,Automatic,Electric,,,4x2
28,2495,,Euro 6d,1 968 ccm,Used,not published by the seller,,84949,110 kW,volkswagen t6-california,,61023227,,,Black interior,50 km,Volkswagen,,,T6 California,,,8/2023,4/5 doors,,,,179 g/km,Metallic,EUR,Ventilated front seats; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Voice control; Navigation system; Bluetooth; Alcantara interior; Automatic A/C,,Alcantara interior,,,6.9 l/100km (combined),Cargo VAN,,Grey,4,Automatic,Diesel,,,4x2
29,,,Euro 6,999 ccm,,not published by the seller,,18249,59 kW,volkswagen polo,1,61023237,,,Other interior color,28 810 km,Volkswagen,,,Polo,,,6/2022,4/5 doors,07/2025,,,109 g/km,Metallic,EUR,LED headlights; Heated front seats; Apple CarPlay; Bluetooth; Adaptive lighting; High beam assist; Rain sensor; Light sensor; Lane assist; Hill-start assist,,Cloth interior,,,4.8 l/100km (combined),Sedans / saloons,,Purple,5,Manual,Petrol,,,4x2
30,,,Euro 5,,,not published by the seller,,84149,236 kW,mercedes-benz gle-350,,61023242,,,,14 990 km,Mercedes-Benz,,,GLE 350,,,1/2023,4/5 doors,,,,0 g/km,,EUR,Parking assist system self-steering; LED headlights; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Keyless ignition; Panoramic roof; Navigation system; Traffic sign recognition,,Cloth interior,,,,SUV / offroad,,,,Automatic,Hybrid,,,4x4
31,,,,1 477 ccm,,not published by the seller,,38599,192 kW,volvo xc40,,61023240,Lithium-ion (Li-ion),,,37 700 km,Volvo,,60 kW,XC40,,11 kWh,3/2021,4/5 doors,,,,147 g/km,,EUR,Heated rear seats; LED headlights; Keyless entry; Keyless ignition; Heated steering wheel; El. tailgate; Traffic sign recognition; Rear parking camera; Sport-suspension system; Induction charging for smartphones,3 h,,,,6.5 l/100km (combined),SUV / offroad,,Blue,,Automatic,Hybrid,No,,4x2
32,,,Euro 6,1 498 ccm,Used,not published by the seller,,30449,110 kW,skoda karoq,,61023233,,,,34 996 km,Skoda,,,Karoq,,,1/2022,4/5 doors,,,,126 g/km,Metallic,EUR,Front seats with memory; Adaptive cruise control; Heated front seats; WLAN/Wifi hotspot; Keyless ignition; Automatic multi-zone A/C; Navigation system; Heated steering wheel; Glare-free high beam headlights; Traffic sign recognition,,,,,5.6 l/100km (combined),SUV / offroad,12/2024,White,5,Automatic,Petrol,,,4x2
33,1055,,Euro 6d-TEMP,1 199 ccm,,not published by the seller,,16749,61 kW,citroen c3,,61023231,,,Other interior color,1 km,Citroen,,,C3,,,9/2023,4/5 doors,,,,97 g/km,Metallic,EUR,LED headlights; Apple CarPlay; Android auto; Traffic sign recognition; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Lane assist; Multifunctional steering wheel,,Other interior material,,,4.2 l/100km (combined); 4.2 l/100km (city); 4.2 l/100km ,Hatchback,,Grey,5,Manual,Petrol,,,4x2
34,,,Euro 6d-TEMP,1 498 ccm,,not published by the seller,,22549,110 kW,volkswagen golf,1,61023224,,,Black interior,38 406 km,Volkswagen,,,Golf,,,11/2020,4/5 doors,10/2025,,,106 g/km,,EUR,Driver's seat with massage function; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Voice control,,Cloth interior,,,4.6 l/100km (combined); 5.9 l/100km (city); 3.9 l/100km ,Hatchback,,Grey,5,Automatic,Petrol,,,4x2
35,,,,5 000 ccm,Used,SAJDA1BE6JCKXXXXX,,96099,423 kW,jaguar f-type,,61023228,,,,40 000 km,Jaguar,,,F-Type,,,1/2017,2/3 doors,,,,269 g/km,,EUR,Ventilated rear seats; Height adjustable suspension; LED headlights; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Meridian audio; Heated front seats; Apple CarPlay,,Full leather interior,,,11.3 l/100km (combined),Coupe,,Blue,2,Automatic,Petrol,,,4x4
36,1561,,No emission class,1 598 ccm,New,not published by the seller,,28649,110 kW,kia sportage,,61023236,,,Other interior color,1 km,Kia,,,Sportage,,,9/2023,4/5 doors,,Germany,,136 g/km,,EUR,Apple CarPlay; Android auto; Bluetooth; High beam assist; Light sensor; Lane assist; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors,,Other interior material,,,5.9 l/100km (combined); 5.9 l/100km (city); 5.9 l/100km ,SUV / offroad,,,,Manual,Petrol,,,4x2
37,,,Euro 6,1 969 ccm,Used,not published by the seller,,27349,110 kW,volvo v60,,61023241,,,,65 500 km,Volvo,,,V60,,,6/2019,4/5 doors,,,,120 g/km,Metallic,EUR,El. tailgate; Rear parking camera; Adaptive lighting; Automatic lights; Rain sensor; Hill-start assist; Parking sensors; Multifunctional steering wheel; Daytime running lights; Leather steering wheel,,Part leather interior,,,4.5 l/100km (combined); 5.3 l/100km (city); 4.1 l/100km ,Station Wagon,06/2024,Grey,5,Automatic,Diesel,,,4x2
38,1448,,Euro 6d,1 461 ccm,Used,not published by the seller,,24549,103 kW,renault megane,,61023234,,,Grey interior,24 920 km,Renault,,,Megane,,,3/2023,4/5 doors,,Germany,,106 g/km,Metallic,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Voice control,,Part leather interior,,,4.6 l/100km (combined),Station Wagon,,Red,5,Manual,Petrol,,,4x2
39,,,Euro 6d,1 199 ccm,,not published by the seller,,20949,96 kW,citroen c3-aircross,1,61023208,,,Black interior,38 535 km,Citroen,,,C3 Aircross,,,8/2020,4/5 doors,,,,114 g/km,,EUR,Keyless entry; Heated front seats; Head-up display; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system; Traffic sign recognition,,Cloth interior,,,5 l/100km (combined); 5.9 l/100km (city); 4.5 l/100km ,SUV / offroad,,White,5,Automatic,Petrol,,,4x2
40,1468,,No emission class,1 477 ccm,New,not published by the seller,,42749,140 kW,nissan qashqai,,61023205,,,Other interior color,1 km,Nissan,,,Qashqai,,,9/2023,4/5 doors,,Germany,,122 g/km,,EUR,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Navigation system; Heated steering wheel; Paddle shifters; Traffic sign recognition; Bluetooth,,Other interior material,,,5.4 l/100km (combined); 5.4 l/100km (city); 5.4 l/100km ,SUV / offroad,,,,Automatic,Hybrid,,,4x2
41,,,Euro 6,998 ccm,Used,not published by the seller,,14899,74 kW,kia stonic,,61023214,,,,54 140 km,Kia,,,Stonic,,,12/2019,4/5 doors,,,,104 g/km,,EUR,,,,,,4.5 l/100km (combined); 5.9 l/100km (city); 4.5 l/100km ,SUV / offroad,,Blue,5,Manual,Petrol,,,4x2
42,,,Euro 6,1 968 ccm,,not published by the seller,,35249,110 kW,audi q3,1,61023209,,,Black interior,17 500 km,Audi,,,Q3,,,11/2020,4/5 doors,,,,124 g/km,Metallic,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,,Cloth interior,,,4.7 l/100km (combined),SUV / offroad,,Black,5,Automatic,Diesel,,,4x2
43,,,Euro 6,1 598 ccm,Used,not published by the seller,,39099,117 kW,mitsubishi asx,1,61023218,,,,7 543 km,Mitsubishi,Plug-in hybrid,,ASX,,11 kWh,4/2023,4/5 doors,,,,31 g/km,,EUR,Adaptive cruise control; Heated front seats; Keyless ignition; Navigation system; Heated steering wheel; Traffic sign recognition; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor,,,,,,SUV / offroad,,Black,5,Manual,Hybrid,No,,4x2
44,,,Euro 6,1 995 ccm,,not published by the seller,,27049,110 kW,mini cooper-d-countryman,,61023202,,,Black interior,35 000 km,MINI,,,Cooper D Countryman,,,12/2019,4/5 doors,,,,111 g/km,Metallic,EUR,Navigation system; Bluetooth; Automatic A/C; Rain sensor; Multifunctional steering wheel; Daytime running lights; On-board computer; Start-stop system; Front electric windows; Alloy wheels,,Cloth interior,,,4.2 l/100km (combined); 4.9 l/100km (city); 3.8 l/100km ,SUV / offroad,,Green,5,Automatic,Diesel,,,4x2
45,1859,,No emission class,,Used,not published by the seller,,48199,150 kW,cupra born,,61023200,,,Other interior color,2 988 km,Cupra,,,Born,,,7/2022,4/5 doors,,,,0 g/km,Metallic,EUR,LED headlights; Rain sensor; Lane assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Leather steering wheel; Alarm; Heated windshield; CD player,,Other interior material,,,16.3 kWh/100km (combined),Hatchback,,Blue,5,Automatic,Electric,,,4x2
46,,,Euro 6,1 496 ccm,Used,not published by the seller,,40899,85 kW,bmw 116,,61023212,,,Black interior,48 000 km,BMW,,,116,,,7/2021,4/5 doors,,Italy,,0 g/km,,EUR,Digital cockpit; Apple CarPlay; Navigation system; Sport front seats; Bluetooth; Xenon headlights; Automatic A/C; Rain sensor; Light sensor; Multifunctional steering wheel,,Part leather interior,,,,Hatchback,,White,5,Automatic,Diesel,,,4x2
47,,,Euro 6d,1 498 ccm,Used,not published by the seller,,36599,110 kW,cupra formentor,,61023219,,,Black interior,1 200 km,Cupra,,,Formentor,,,4/2023,4/5 doors,,Germany,,126 g/km,Metallic,EUR,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Heated steering wheel; El. tailgate,,Cloth interior,,,5.5 l/100km (combined),SUV / offroad,,Blue,5,Automatic,Petrol,,,4x2
48,,,,1 984 ccm,New,not published by the seller,,70299,195 kW,audi q5,,61023206,,,,5 km,Audi,,,Q5,,,1/2023,4/5 doors,,,,169 g/km,,EUR,Digital cockpit; Bluetooth; Leather; Automatic A/C; Side mirrors with electic adjustment; Daytime running lights; Alarm; Start-stop system; Ambient lighting; USB,,Full leather interior,,,7.4 l/100km (combined),SUV / offroad,,Black,5,Automatic,Petrol,,,4x4
49,,,Euro 6,1 461 ccm,Used,not published by the seller,,18899,85 kW,renault megane,,61023204,,,Black interior,39 341 km,Renault,,,Megane,,,6/2020,4/5 doors,,,,104 g/km,,EUR,Head-up display; Navigation system; Traffic sign recognition; Bluetooth; Rear parking camera; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Multifunctional steering wheel,,Cloth interior,,,4.6 l/100km (combined); 4.6 l/100km (city); 3.5 l/100km ,Hatchback,12/2024,Black,5,Manual,Diesel,,,4x2
50,,,Euro 6d,1 199 ccm,,not published by the seller,,32049,96 kW,opel combo,,61023216,,,Grey interior,3 000 km,Opel,,,Combo,,,6/2023,4/5 doors,,,,122 g/km,,EUR,Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition,,Cloth interior,,,5.3 l/100km (combined),Cargo VAN,,White,5,Automatic,Petrol,,,4x2
51,,,Euro 6,1 498 ccm,New,not published by the seller,,32399,110 kW,seat ateca,,61023217,,,Other interior color,10 km,Seat,,,Ateca,,,9/2023,4/5 doors,,,,129 g/km,,EUR,LED headlights; Keyless entry; Heated front seats; Keyless ignition; Heated steering wheel; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Hill-start assist,,Other interior material,,,5.7 l/100km (combined),SUV / offroad,,,5,Automatic,Petrol,,,4x2
52,,,Euro 6,1 499 ccm,Used,not published by the seller,,17799,75 kW,peugeot 208,1,61023213,,,,46 094 km,Peugeot,,,208,,,4/2022,4/5 doors,,,,86 g/km,,EUR,,,Cloth interior,,,4.2 l/100km (combined),Hatchback,12/2024,Grey,5,Manual,Diesel,,,4x2
53,,,Euro 6,1 598 ccm,Used,not published by the seller,,20999,85 kW,skoda kamiq,,61023191,,,,63 883 km,Skoda,,,Kamiq,,,12/2020,4/5 doors,,,,112 g/km,,EUR,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Navigation system; Automatic lights; Rain sensor; Hill-start assist; Front collision warning system; Autom. dimming side mirros; Multifunctional steering wheel,,,,,4.3 l/100km (combined); 4.8 l/100km (city); 3.9 l/100km ,SUV / offroad,05/2024,Grey,5,Automatic,Diesel,,,4x2
54,,,Euro 6d-TEMP,1 368 ccm,New,not published by the seller,,35849,132 kW,abarth 695,,61023187,,,Black interior,5 km,Abarth,,,695,,,9/2023,2/3 doors,,Germany,,161 g/km,Metallic,EUR,Digital cockpit; Electric adjustable front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Paddle shifters; Sport front seats; Bi-xenon headlights,,Part leather interior,,,7 l/100km (combined); 7 l/100km (city); 7 l/100km ,Hatchback,,Grey,4,Manual,Petrol,,,4x2
55,,,Euro 6,4 663 ccm,Used,not published by the seller,,47099,335 kW,mercedes-benz gls-500,,61023188,,,,80 681 km,Mercedes-Benz,,,GLS 500,,,7/2017,4/5 doors,,,,255 g/km,Metallic,EUR,Air suspension; Electric adjustable front seats; Heated front seats; Keyless ignition; Panoramic roof; Navigation system; El. tailgate; Bi-xenon headlights; Rear parking camera; Leather,,Full leather interior,,,10.9 l/100km (combined); 17.4 l/100km (city); 9.3 l/100km ,SUV / offroad,03/2024,White,7,Automatic,Petrol,,,4x4
56,,,,1 332 ccm,Used,VF1RJL008UC354390,,30949,103 kW,renault arkana,,61023194,,,,13 416 km,Renault,,,Arkana,,,1/2022,4/5 doors,,,,0 g/km,,EUR,Parking assist system self-steering; LED headlights; Electric adjustable front seats; Bose audio; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Paddle shifters,,Full leather interior,,,,SUV / offroad,,Red,5,Automatic,Petrol,,,4x2
57,,,,1 497 ccm,Used,JTDKCACB20A028959,,28399,85 kW,toyota yaris-cross,,61023193,,,,18 200 km,Toyota,,,Yaris Cross,,,1/2022,4/5 doors,,,,0 g/km,,EUR,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Voice control; Traffic sign recognition; Bluetooth; Automatic A/C; Automatic lights,,Cloth interior,,,,SUV / offroad,,Black,5,Automatic,Hybrid,,,4x4
58,,,Euro 6d,1 200 ccm,Used,not published by the seller,,18499,96 kW,citroen c3-aircross,,61023196,,,Other interior color,11 029 km,Citroen,,,C3 Aircross,,,3/2020,4/5 doors,,,,114 g/km,Metallic,EUR,Voice control; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Lane assist; Hill-start assist; Parking sensors; Side mirrors with electic adjustment,,Part leather interior,,,5 l/100km (combined),SUV / offroad,,Grey,,Automatic,Petrol,,,4x2
