CARNAME,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Tags,Engine capacity(ccm),Previous owners
opel corsa,Opel,Corsa,Grey,Other interior color,Other interior material,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,74,99,No emission class,18500,5/2021,Used,4.3,18999,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1200.0,0.0
bmw ix1,BMW,iX1,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x4,230,0,Euro 6,10,1/2023,New,0.0,65149,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Apple CarPlay,1499.0,0.0
fiat doblo,Fiat,Doblo,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,3.0,Diesel,Manual,4x2,88,0,Euro 6,3,11/2022,Used,4.7,23399,Bluetooth; Multifunctional steering wheel; Side mirrors with electic adjustment; Start-stop system; USB; Front electric windows,1598.0,1.0
jaguar f-pace,Jaguar,F-Pace,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x2,132,146,Euro 6,120546,6/2018,Used,5.5,21099,Keyless ignition; Automatic multi-zone A/C; Paddle shifters; Rear parking camera; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system; Autom. dimming side mirros,1999.0,0.0
seat ateca,Seat,Ateca,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,110,129,Euro 6d,11000,9/2023,Used,5.7,34699,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Navigation system; Heated steering wheel,1498.0,0.0
mercedes-benz gle-350,Mercedes-Benz,GLE 350,White,Black interior,Part leather interior,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x4,235,0,Euro 6d-TEMP,18500,9/2022,Used,4.6,88499,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Apple CarPlay; Android auto,1950.0,1.0
fiat 500c,Fiat,500C,White,Other interior color,Cloth interior,Cabriolet,2/3 doors,4.0,Petrol,Manual,4x2,51,88,Euro 6,5,8/2023,New,4.8,21899,Digital cockpit; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Bluetooth; Automatic A/C; Hill-start assist; Sport package,999.0,0.0
fiat tipo,Fiat,Tipo,White,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5.0,Petrol,Automatic,4x2,96,0,Euro 6d-TEMP,5,9/2023,New,5.5,24949,Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C; Lane assist,1469.0,0.0
mercedes-benz cla-45-amg-shooting-brake,Mercedes-Benz,CLA 45 AMG Shooting Brake,White,Black interior,Part leather interior,Station Wagon,4/5 doors,5.0,Petrol,Automatic,4x4,280,194,Euro 6d-TEMP,56200,1/2019,Used,8.5,38749,LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Keyless ignition; Voice control; Navigation system; El. tailgate; Paddle shifters; Sport front seats,1991.0,2.0
suzuki jimny,Suzuki,Jimny,Black,Black interior,Cloth interior,SUV / offroad,2/3 doors,2.0,Petrol,Manual,4x4,75,173,Euro 6d,3,9/2023,New,7.7,32099,Heated front seats; Glare-free high beam headlights; Traffic sign recognition; Bluetooth; High beam assist; Light sensor; Lane assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment,1462.0,0.0
renault master,Renault,Master,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,7.0,Diesel,Manual,4x2,81,207,Euro 6,124884,4/2019,Used,7.8,19249,Hill-start assist; Side mirrors with electic adjustment; On-board computer; Front electric windows,2299.0,1.0
fiat 500,Fiat,500,Red,Black interior,Cloth interior,Hatchback,2/3 doors,4.0,Petrol,Manual,4x2,63,90,Euro 6,60233,12/2017,Used,3.8,12899,Voice control; Automatic A/C; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel; On-board computer; Start-stop system,875.0,0.0
toyota yaris,Toyota,Yaris,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Hybrid,Automatic,4x2,85,92,Euro 6,32026,10/2022,Used,4.6,22049,Adaptive cruise control; Keyless ignition; Traffic sign recognition; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system,1490.0,0.0
mercedes-benz glc-43-amg,Mercedes-Benz,GLC 43 AMG,Silver,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,270,220,Euro 6c,99204,8/2017,Used,9.7,41799,Air suspension; Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Keyless ignition; Voice control,2996.0,3.0
toyota camry,Toyota,Camry,Silver,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5.0,Hybrid,Automatic,4x2,160,98,Euro 6,0,9/2023,New,4.3,50599,LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,2500.0,0.0
audi q8,Audi,Q8,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x4,250,0,No emission class,1,8/2023,Used,0.0,103899,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Keyless ignition; Panoramic roof,1499.0,0.0
bmw 118,BMW,118,Grey,Black interior,Other interior material,Hatchback,4/5 doors,5.0,Diesel,Automatic,4x2,110,109,Euro 6,40931,5/2021,Used,4.1,36599,Sport front seats; Automatic A/C; Rain sensor; Multifunctional steering wheel; Start-stop system,1995.0,0.0
citroen c4,Citroen,C4,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,96,130,Euro 6,41595,6/2021,Used,5.4,23099,Adaptive cruise control; Heated front seats; Head-up display; Keyless ignition; Automatic multi-zone A/C; Navigation system; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor,1199.0,1.0
ford kuga,Ford,Kuga,Grey,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,110,125,Euro 6d,10,7/2023,New,6.6,30899,Digital cockpit; Heated front seats; Panoramic roof; Navigation system; Heated steering wheel; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Lane assist; Front collision warning system,1496.0,0.0
ford kuga,Ford,Kuga,Grey,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,110,125,Euro 6d,10,7/2023,New,6.6,30899,Digital cockpit; Heated front seats; Panoramic roof; Navigation system; Heated steering wheel; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Lane assist; Front collision warning system,1496.0,0.0
porsche cayenne,Porsche,Cayenne,Grey,Brown interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x4,340,75,Euro 6,46293,4/2021,Used,4.6,101149,LED headlights; Smart key; Electric adjustable front seats; Voice control; Navigation system; Heated steering wheel; El. tailgate; Paddle shifters; Bluetooth; Automatic 2-zones air conditioning,2995.0,0.0
ford focus,Ford,Focus,Blue,Black interior,Cloth interior,Station Wagon,4/5 doors,5.0,Diesel,Manual,4x2,136,110,Euro 6,108000,7/2018,Used,4.2,17899,Keyless entry; Heated front seats; Integrated music streaming; Keyless ignition; Voice control; Navigation system; Heated steering wheel; Sport front seats; Bluetooth; Sport-suspension system,1997.0,0.0
volkswagen caddy,Volkswagen,Caddy,Grey,Other interior color,Other interior material,Cargo VAN,4/5 doors,5.0,Diesel,Automatic,4x2,90,122,No emission class,1,9/2023,New,4.6,41899,Panoramic roof; Bluetooth; Lane assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Automatic parking brake; Fatigue warning system; USB,1968.0,0.0
citroen c3,Citroen,C3,White,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Diesel,Manual,4x2,55,93,Euro 6,115435,6/2018,Used,3.5,10899,Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; On-board computer; Start-stop system; Front electric windows,1560.0,0.0
fiat 500,Fiat,500,Grey,Other interior color,Other interior material,Hatchback,2/3 doors,4.0,Petrol,Manual,4x2,51,88,No emission class,60652,11/2020,Used,3.9,14199,Multifunctional steering wheel; Start-stop system; Alloy wheels,999.0,0.0
skoda fabia,Skoda,Fabia,Red,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,55,110,Euro 6c,41800,6/2019,Used,4.8,11799,Heated front seats; Integrated music streaming; Bluetooth; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; On-board computer; Start-stop system; USB; Front electric windows,999.0,2.0
nissan x-trail,Nissan,X-Trail,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,120,161,No emission class,1,9/2023,New,7.1,35449,Heated rear seats; LED headlights; Heated front seats; Apple CarPlay; Android auto; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic A/C; High beam assist,1497.0,0.0
audi a1,Audi,A1,Grey,Grey interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,81,112,Euro 6d-TEMP,5750,8/2022,Used,4.9,29349,Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Voice control; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Lane assist,999.0,0.0
volkswagen t-roc,Volkswagen,T-Roc,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,110,127,Euro 6,29872,6/2021,Used,6.2,28349,Navigation system; Sport front seats; Bluetooth; Adaptive lighting; Parking sensors; Fatigue warning system; Front electric windows,1498.0,0.0
audi a4,Audi,A4,Black,Black interior,Cloth interior,Station Wagon,4/5 doors,5.0,Diesel,Manual,4x2,150,135,Euro 5,155000,3/2013,Used,5.2,15899,Electric adjustable front seats; Heated front seats; Voice control; Navigation system; El. tailgate; Sport front seats; Bi-xenon headlights; Bluetooth; Automatic 2-zones air conditioning; Sport-suspension system,2967.0,1.0
fiat tipo,Fiat,Tipo,Red,Black interior,Cloth interior,Station Wagon,4/5 doors,5.0,Petrol,Automatic,4x2,96,0,Euro 6d-TEMP,5,9/2023,New,5.5,27849,LED headlights; Digital cockpit; Adaptive cruise control; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Traffic sign recognition; Bluetooth,1469.0,0.0
peugeot 2008,Peugeot,2008,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,81,111,Euro 6,29190,12/2019,Used,4.9,16399,Automatic multi-zone A/C; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Electrically foldable side mirrors; On-board computer; Front electric windows,1199.0,0.0
audi q5,Audi,Q5,Grey,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,210,178,Euro 6d,1,9/2023,New,6.8,56049,LED headlights; El. tailgate; Bluetooth; Automatic A/C; Rain sensor; Lane assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,2967.0,0.0
mg hs,MG,HS,White,Grey interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,119,0,Euro 6d-TEMP,15,3/2023,Used,5.5,28749,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Voice control,1490.0,0.0
toyota corolla,Toyota,Corolla,Grey,Black interior,Cloth interior,Station Wagon,4/5 doors,5.0,Hybrid,Automatic,4x2,90,97,Euro 6,18084,6/2022,Used,3.6,28249,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system,1798.0,0.0
nissan qashqai,Nissan,Qashqai,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,116,140,No emission class,1,9/2023,New,6.2,33999,LED headlights; Keyless entry; Apple CarPlay; Android auto; Navigation system; Heated steering wheel; Paddle shifters; Traffic sign recognition; Bluetooth; Automatic A/C,1332.0,0.0
volkswagen t-cross,Volkswagen,T-Cross,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,81,112,No emission class,58437,6/2022,Used,6.3,23149,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,999.0,0.0
nissan qashqai,Nissan,Qashqai,Black,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,140,0,Euro 6,2,7/2023,Used,5.5,39799,Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Head-up display; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Navigation system,1497.0,0.0
kia ev9,Kia,EV9,White,Black interior,Other interior material,SUV / offroad,4/5 doors,7.0,Electric,Automatic,4x4,283,0,Euro 6,10,11/2023,Demonstration car,0.0,83799,Driver's seat with massage function; Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Meridian audio,1499.0,0.0
jeep renegade,Jeep,Renegade,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,96,141,Euro 6d-TEMP,5,8/2023,New,6.2,33649,Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Heated steering wheel; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Lane assist,1469.0,0.0
peugeot 208,Peugeot,208,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Diesel,Manual,4x2,74,97,Euro 6,131512,4/2019,Used,4.2,10899,Automatic multi-zone A/C; Sport front seats; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel; Electrically foldable side mirrors; Cornering lights; On-board computer,1499.0,0.0
mercedes-benz a-180,Mercedes-Benz,A 180,White,Grey interior,Cloth interior,Hatchback,4/5 doors,5.0,Diesel,Automatic,4x2,85,0,Euro 6,62337,9/2019,Used,4.7,30249,Heated front seats; Internet connection; Keyless ignition; Panoramic roof; Voice control; Navigation system; Paddle shifters; Sport front seats; Bluetooth; Rear parking camera,1461.0,0.0
peugeot 208,Peugeot,208,Yellow,Other interior color,Other interior material,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,55,94,No emission class,60000,1/2020,Used,5.3,14899,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1199.0,0.0
dacia sandero,Dacia,Sandero,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,54,135,Euro 6,41427,6/2020,Used,5.8,12399,Hill-start assist; Multifunctional steering wheel; Daytime running lights; USB; AUX; Front electric windows,999.0,0.0
mercedes-benz vito,Mercedes-Benz,Vito,White,Grey interior,Cloth interior,Cargo VAN,4/5 doors,3.0,Diesel,Manual,4x2,75,173,Euro 6d-TEMP,99000,10/2020,Used,5.7,18449,Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Alarm; CD player,1750.0,0.0
opel astra,Opel,Astra,White,Other interior color,Cloth interior,Station Wagon,4/5 doors,5.0,Hybrid,Automatic,4x2,133,0,Euro 6,3500,10/2023,Used,4.6,49999,LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition,1598.0,0.0
volkswagen golf,Volkswagen,Golf,Yellow,Other interior color,Cloth interior,Hatchback,4/5 doors,5.0,Hybrid,Automatic,4x2,180,109,No emission class,14151,5/2021,Used,4.8,33349,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof,1395.0,0.0
seat ibiza,Seat,Ibiza,White,Other interior color,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,70,107,Euro 6d-TEMP,18085,8/2020,Used,4.7,16399,Heated front seats; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Hill-start assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,999.0,0.0
renault grand-scenic,Renault,Grand Scenic,Black,Black interior,Full leather interior,MPV,4/5 doors,5.0,Petrol,Automatic,4x2,116,146,Euro 6d,10,12/2023,New,6.4,35599,Driver's seat with massage function; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats; Head-up display,1333.0,0.0
bmw x1,BMW,X1,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x2,110,0,Euro 6,94705,1/2020,Used,4.9,23449,Keyless entry; Heated front seats; Integrated music streaming; Keyless ignition; Voice control; Navigation system; El. tailgate; Bluetooth; Automatic A/C; Rain sensor,1995.0,2.0
ford ranger,Ford,Ranger,Grey,Black interior,Full leather interior,Pick-up,4/5 doors,5.0,Petrol,Automatic,4x4,215,0,Euro 6d-TEMP,3999,3/2023,Used,5.5,67199,Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming,3000.0,0.0
bmw x1,BMW,X1,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x2,135,132,Euro 5,82793,6/2015,Used,5.0,20049,Navigation system; Heated steering wheel; Bluetooth; Automatic 2-zones air conditioning; Automatic lights; Rain sensor; Hill-start assist; Front collision warning system; DVD player; Side mirrors with electic adjustment,1995.0,1.0
renault clio,Renault,Clio,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Diesel,Manual,4x2,63,95,Euro 6,62990,10/2020,Used,3.6,13299,Navigation system; Traffic sign recognition; Automatic lights; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Electrically foldable side mirrors; On-board computer,1461.0,1.0
opel insignia,Opel,Insignia,Grey,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5.0,Petrol,Manual,4x2,103,133,Euro 6,102834,1/2018,Used,5.9,17399,LED headlights; Keyless ignition; Bluetooth; Automatic A/C; Automatic lights; Rain sensor; Light sensor; Lane assist; Multifunctional steering wheel; Side mirrors with electic adjustment,1490.0,0.0
opel vivaro,Opel,Vivaro,Grey,Other interior color,Other interior material,Cargo VAN,4/5 doors,3.0,Diesel,Manual,4x2,90,170,No emission class,600,1/2023,Used,6.4,28999,Bluetooth; Hill-start assist; Side mirrors with electic adjustment; Start-stop system; Front electric windows,1499.0,0.0
volkswagen id.5,Volkswagen,ID.5,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x4,221,0,Euro 6,50,11/2023,New,0.0,62749,Adaptive cruise control; Navigation system; Rear parking camera; Lane assist; Alarm,1499.0,0.0
skoda kamiq,Skoda,Kamiq,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,81,108,Euro 6,28000,1/2021,Used,4.7,20849,LED headlights; Apple CarPlay; Android auto; Bluetooth; Automatic A/C; Automatic lights; Light sensor; Lane assist; Hill-start assist; Front collision warning system,999.0,0.0
volkswagen golf,Volkswagen,Golf,Grey,Black interior,Cloth interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x2,135,125,Euro 6,115000,4/2017,Used,4.8,20599,Digital cockpit; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Panoramic roof; Voice control; Navigation system,1968.0,1.0
ds-automobiles ds7,DS Automobiles,DS7,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x2,96,105,Euro 6d-TEMP,50,2/2023,New,4.0,53549,LED headlights; Electric adjustable front seats; Adaptive cruise control; Android auto; Panoramic roof; Navigation system; Traffic sign recognition; Bluetooth; Leather; Rain sensor,1499.0,0.0
peugeot 208,Peugeot,208,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Diesel,Manual,4x2,74,85,Euro 6,37450,11/2019,Used,3.2,15899,Head-up display; Keyless ignition; Voice control; Navigation system; Traffic sign recognition; Rear parking camera; Adaptive lighting; Automatic A/C; Automatic lights; Rain sensor,1499.0,0.0
peugeot 3008,Peugeot,3008,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x2,96,108,Euro 6,14255,6/2022,Used,5.5,34499,Adaptive cruise control; Heated front seats; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor,1499.0,1.0
peugeot 208,Peugeot,208,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Diesel,Manual,4x2,73,87,Euro 6,76540,5/2017,Used,3.4,12399,Hill-start assist; Daytime running lights; Electrically heated side mirrors; On-board computer; Front electric windows,1560.0,1.0
peugeot 2008,Peugeot,2008,Orange,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x2,100,0,No emission class,17544,3/2021,Used,0.0,27799,Electric adjustable front seats; Automatic A/C; Side mirrors with electic adjustment,1499.0,0.0
ford kuga,Ford,Kuga,White,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,110,125,Euro 6d,1010,11/2023,Used,6.6,33999,Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Heated steering wheel; Sport front seats; Bluetooth; Automatic 2-zones air conditioning; Light sensor,1496.0,1.0
seat ateca,Seat,Ateca,White,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,110,129,Euro 6,27750,5/2021,Used,5.7,27749,Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Navigation system; Heated steering wheel; El. tailgate,1498.0,0.0
peugeot 2008,Peugeot,2008,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,96,109,Euro 6,28369,9/2022,Used,6.0,24749,Traffic sign recognition; Automatic A/C; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,1199.0,1.0
peugeot 3008,Peugeot,3008,Grey,Black interior,Part leather interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x2,88,108,Euro 6,75758,8/2019,Used,4.2,22999,Keyless entry; Adaptive cruise control; Keyless ignition; Panoramic roof; El. tailgate; Sport front seats; Bluetooth; Automatic A/C; Rain sensor; Light sensor,1600.0,0.0
opel crossland,Opel,Crossland,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,61,106,Euro 6,75638,1/2020,Used,4.6,15799,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1199.0,1.0
mg zs,MG,ZS,Red,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,82,172,No emission class,60000,11/2021,Used,7.2,20549,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1000.0,0.0
bmw 850,BMW,850,Blue,Black interior,Full leather interior,Cabriolet,2/3 doors,4.0,Petrol,Automatic,4x4,390,232,No emission class,7995,6/2021,Used,10.1,91649,Ventilated front seats; LED headlights; Digital cockpit; Keyless entry; Smart key; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Head-up display,4395.0,0.0
toyota hilux,Toyota,Hilux,Grey,Other interior color,Other interior material,Pick-up,4/5 doors,5.0,Diesel,Manual,4x4,110,226,No emission class,1,9/2023,New,9.0,44249,Apple CarPlay; Android auto; Bluetooth; Automatic A/C; Light sensor; Daytime running lights; Leather steering wheel; CD player; USB; AUX,2393.0,0.0
jeep renegade,Jeep,Renegade,Black,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,125,160,Euro 6,70000,7/2016,Used,8.7,18999,Keyless entry; Heated front seats; Keyless ignition; Heated steering wheel; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Lane assist; Hill-start assist,1368.0,0.0
skoda fabia,Skoda,Fabia,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,81,127,Euro 6d-TEMP,500,9/2023,Used,5.6,23149,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Heated steering wheel; Bluetooth; Automatic A/C; Rain sensor,999.0,1.0
audi a3,Audi,A3,Grey,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5.0,Petrol,Automatic,4x2,110,115,Euro 6d-TEMP,20,9/2023,New,5.6,37249,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Paddle shifters; Bluetooth,1498.0,0.0
hyundai i30,Hyundai,i30,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,81,127,Euro 6,27646,1/2021,Used,5.6,15499,Bluetooth; Automatic lights; Light sensor; Lane assist; Front collision warning system; Predictive emergency braking system (PEBS); Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel,1498.0,0.0
seat arona,Seat,Arona,Red,Other interior color,Alcantara interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,70,115,Euro 6d-TEMP,36585,1/2020,Used,5.0,17849,LED headlights; Heated front seats; Sport front seats; Bluetooth; Automatic 2-zones air conditioning; Alcantara interior; Rain sensor; Light sensor; Hill-start assist; Front collision warning system,999.0,0.0
bmw x7,BMW,X7,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,7.0,Petrol,Automatic,4x4,390,252,Euro 6d,19489,2/2022,Used,11.2,109149,Laser headlights; Driver's seat with massage function; Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Smart key; Electric adjustable front seats,4395.0,1.0
hyundai kona,Hyundai,Kona,Grey,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x2,150,0,Euro 6,15242,7/2020,Used,0.0,30949,Keyless entry; Heated front seats; Head-up display; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Traffic sign recognition; Bluetooth,1499.0,1.0
opel corsa,Opel,Corsa,Red,Other interior color,Other interior material,Hatchback,4/5 doors,5.0,Diesel,Manual,4x2,75,87,No emission class,54000,7/2020,Used,3.3,16949,On-board computer,1499.0,0.0
