CARNAME,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Tags,Engine capacity(ccm),Previous owners
bmw 530,BMW,530,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5.0,Diesel,Automatic,4x2,210,133,Euro 6d,25700,3/2023,Used,5.1,56399,Laser headlights; Ventilated front seats; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Active steering; Head-up display,2993.0,1.0
mercedes-benz glc-220,Mercedes-Benz,GLC 220,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,143,140,Euro 6d,28500,1/2022,Used,5.3,48999,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition,1950.0,1.0
kia e-niro,Kia,e-Niro,Black,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x2,150,0,No emission class,1,9/2023,New,0.0,46349,Ventilated front seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,1499.0,0.0
opel combo,Opel,Combo,Grey,Black interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Petrol,Manual,4x2,81,122,Euro 6d,21100,2/2021,Used,5.3,29449,Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning,1199.0,1.0
mercedes-benz e-200,Mercedes-Benz,E 200,Black,Black interior,Full leather interior,Cabriolet,2/3 doors,4.0,Petrol,Automatic,4x2,135,138,Euro 6,48000,10/2017,Used,6.2,39299,LED headlights; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Integrated music streaming; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning,1991.0,2.0
volkswagen up!,Volkswagen,up!,Black,Grey interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,61,98,No emission class,0,9/2023,New,5.0,29999,Heated front seats; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel,999.0,0.0
citroen c5-aircross,Citroen,C5 Aircross,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,96,119,Euro 6d-TEMP,43478,5/2020,Used,5.2,20449,Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Traffic sign recognition; Bluetooth; Rain sensor; Light sensor; Lane assist,1199.0,1.0
audi q3,Audi,Q3,Black,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,169,168,Euro 6d-TEMP,49500,12/2019,Used,7.4,40799,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition,1984.0,0.0
audi a1,Audi,A1,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,70,112,Euro 6d-TEMP,10,9/2023,New,4.9,32099,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,999.0,0.0
dacia spring,Dacia,Spring,Grey,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x2,33,0,No emission class,8,7/2023,Demonstration car,0.0,18699,Leather; Light sensor; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Front electric windows,1499.0,1.0
